"Faerdigvacc. dato";"regionskode_current";"Regionsnavn";"Antal faerdigvacc.";"regionskode_num"
2021-05-01;1084;Hovedstaden;481;1084
2021-05-01;1085;Sjælland;2613;1085
2021-05-02;1081;Nordjylland;1172;1081
2021-05-02;1082;Midtjylland;48;1082
2021-05-02;1083;Syddanmark;1970;1083
2021-05-02;1084;Hovedstaden;8538;1084
2021-05-02;1085;Sjælland;2033;1085
2021-05-03;1081;Nordjylland;9835;1081
2021-05-03;1082;Midtjylland;8809;1082
2021-05-03;1083;Syddanmark;4075;1083
2021-05-03;1084;Hovedstaden;7961;1084
2021-05-03;1085;Sjælland;14937;1085
2021-05-04;1081;Nordjylland;1047;1081
2021-05-04;1082;Midtjylland;8346;1082
2021-05-04;1083;Syddanmark;4002;1083
2021-05-04;1084;Hovedstaden;8612;1084
2021-05-04;1085;Sjælland;2728;1085
2021-05-05;1081;Nordjylland;1423;1081
2021-05-05;1082;Midtjylland;8842;1082
2021-05-05;1083;Syddanmark;4207;1083
2021-05-05;1084;Hovedstaden;11955;1084
2021-05-05;1085;Sjælland;2776;1085
2021-05-06;1081;Nordjylland;618;1081
2021-05-06;1082;Midtjylland;7518;1082
2021-05-06;1083;Syddanmark;5123;1083
2021-05-06;1084;Hovedstaden;10003;1084
2021-05-06;1085;Sjælland;2260;1085
2021-05-07;1081;Nordjylland;1371;1081
2021-05-07;1082;Midtjylland;5943;1082
2021-05-07;1083;Syddanmark;5538;1083
2021-05-07;1084;Hovedstaden;7533;1084
2021-05-07;1085;Sjælland;4175;1085
2021-05-08;1081;Nordjylland;1237;1081
2021-05-08;1082;Midtjylland;247;1082
2021-05-08;1083;Syddanmark;3833;1083
2021-05-08;1084;Hovedstaden;19621;1084
2021-05-08;1085;Sjælland;5841;1085
2021-05-09;1081;Nordjylland;1807;1081
2021-05-09;1082;Midtjylland;85;1082
2021-05-09;1083;Syddanmark;2902;1083
2021-05-09;1084;Hovedstaden;8159;1084
2021-05-09;1085;Sjælland;3718;1085
2021-05-10;1081;Nordjylland;4703;1081
2021-05-10;1082;Midtjylland;7068;1082
2021-05-10;1083;Syddanmark;14215;1083
2021-05-10;1084;Hovedstaden;5567;1084
2021-05-10;1085;Sjælland;4532;1085
2021-05-11;1081;Nordjylland;3640;1081
2021-05-11;1082;Midtjylland;7587;1082
2021-05-11;1083;Syddanmark;5720;1083
2021-05-11;1084;Hovedstaden;6159;1084
2021-05-11;1085;Sjælland;3115;1085
2021-05-12;1081;Nordjylland;1965;1081
2021-05-12;1082;Midtjylland;9300;1082
2021-05-12;1083;Syddanmark;6262;1083
2021-05-12;1084;Hovedstaden;5591;1084
2021-05-12;1085;Sjælland;3849;1085
2021-05-13;1081;Nordjylland;1835;1081
