Date;Antal_døde;running_avg_deaths;new_1;new_2;new_3;new_4;new_1_avg;new_2_avg;new_3_avg;new_4_avg;sum_1;sum_2;sum_3;sum_4;active_1;active_2;active_3;active_4
2020-05-30; 4; 1,4285714;  95,23810; 154,44015; 197,04433; 238,09524;  88,43537; 143,40871; 182,96974; 221,08844;100571,42857;163088,80309;208078,81773;251428,57143; 1523,8095; 2471,0425; 3152,7094; 3809,5238
2020-05-31; 2; 1,5714286;  71,42857; 115,83012; 147,78325; 178,57143;  81,63265; 132,37728; 168,89514; 204,08163;100642,85714;163204,63320;208226,60099;251607,14286; 1452,3810; 2355,2124; 3004,9261; 3630,9524
2020-06-01; 3; 2,0000000;  47,61905;  77,22008;  98,52217; 119,04762;  71,42857; 115,83012; 147,78325; 178,57143;100690,47619;163281,85328;208325,12315;251726,19048; 1357,1429; 2200,7722; 2807,8818; 3392,8571
2020-06-02; 1; 1,7142857;  71,42857; 115,83012; 147,78325; 178,57143;  64,62585; 104,79868; 133,70866; 161,56463;100761,90476;163397,68340;208472,90640;251904,76190; 1333,3333; 2162,1622; 2758,6207; 3333,3333
2020-06-03; 1; 1,7142857;  71,42857; 115,83012; 147,78325; 178,57143;  54,42177;  88,25152; 112,59676; 136,05442;100833,33333;163513,51351;208620,68966;252083,33333; 1309,5238; 2123,5521; 2709,3596; 3273,8095
2020-06-04; 4; 2,2857143;  47,61905;  77,22008;  98,52217; 119,04762;  47,61905;  77,22008;  98,52217; 119,04762;100880,95238;163590,73359;208719,21182;252202,38095; 1285,7143; 2084,9421; 2660,0985; 3214,2857
2020-06-05; 2; 2,4285714;  47,61905;  77,22008;  98,52217; 119,04762;  47,61905;  77,22008;  98,52217; 119,04762;100928,57143;163667,95367;208817,73399;252321,42857; 1214,2857; 1969,1120; 2512,3153; 3035,7143
2020-06-06; 3; 2,2857143;  23,80952;  38,61004;  49,26108;  59,52381;  40,81633;  66,18864;  84,44757; 102,04082;100952,38095;163706,56371;208866,99507;252380,95238; 1095,2381; 1776,0618; 2266,0099; 2738,0952
2020-06-07; 2; 2,2857143;  23,80952;  38,61004;  49,26108;  59,52381;  40,81633;  66,18864;  84,44757; 102,04082;100976,19048;163745,17375;208916,25616;252440,47619; 1000,0000; 1621,6216; 2068,9655; 2500,0000
2020-06-08; 0; 1,8571429;  47,61905;  77,22008;  98,52217; 119,04762;  44,21769;  71,70436;  91,48487; 110,54422;101023,80952;163822,39382;209014,77833;252559,52381;  952,3810; 1544,4015; 1970,4433; 2380,9524
2020-06-09; 0; 1,7142857;  23,80952;  38,61004;  49,26108;  59,52381;  47,61905;  77,22008;  98,52217; 119,04762;101047,61905;163861,00386;209064,03941;252619,04762;  857,1429; 1389,9614; 1773,3990; 2142,8571
2020-06-10; 0; 1,5714286;  71,42857; 115,83012; 147,78325; 178,57143;  54,42177;  88,25152; 112,59676; 136,05442;101119,04762;163976,83398;209211,82266;252797,61905;  785,7143; 1274,1313; 1625,6158; 1964,2857
2020-06-11; 1; 1,1428571;  71,42857; 115,83012; 147,78325; 178,57143;  64,62585; 104,79868; 133,70866; 161,56463;101190,47619;164092,66409;209359,60591;252976,19048;  690,4762; 1119,6911; 1428,5714; 1726,1905
2020-06-12; 3; 1,2857143;  71,42857; 115,83012; 147,78325; 178,57143;  68,02721; 110,31440; 140,74595; 170,06803;101261,90476;164208,49421;209507,38916;253154,76190;  595,2381;  965,2510; 1231,5271; 1488,0952
2020-06-13; 0; 0,8571429;  71,42857; 115,83012; 147,78325; 178,57143;  74,82993; 121,34584; 154,82055; 187,07483;101333,33333;164324,32432;209655,17241;253333,33333;  547,6190;  888,0309; 1133,0049; 1369,0476
2020-06-14; 1; 0,7142857;  95,23810; 154,44015; 197,04433; 238,09524;  68,02721; 110,31440; 140,74595; 170,06803;101428,57143;164478,76448;209852,21675;253571,42857;  476,1905;  772,2008;  985,2217; 1190,4762
2020-06-15; 0; 0,7142857;  71,42857; 115,83012; 147,78325; 178,57143;  61,22449;  99,28296; 126,67136; 153,06122;101500,00000;164594,59459;210000,00000;253750,00000;  476,1905;  772,2008;  985,2217; 1190,4762
2020-06-16; 1; 0,8571429;  71,42857; 115,83012; 147,78325; 178,57143;  54,42177;  88,25152; 112,59676; 136,05442;101571,42857;164710,42471;210147,78325;253928,57143;  500,0000;  810,8108; 1034,4828; 1250,0000
2020-06-17; 1; 1,0000000;  23,80952;  38,61004;  49,26108;  59,52381;  47,61905;  77,22008;  98,52217; 119,04762;101595,23810;164749,03475;210197,04433;253988,09524;  500,0000;  810,8108; 1034,4828; 1250,0000
2020-06-18; 1; 1,0000000;  23,80952;  38,61004;  49,26108;  59,52381;  37,41497;  60,67292;  77,41027;  93,53741;101619,04762;164787,64479;210246,30542;254047,61905;  500,0000;  810,8108; 1034,4828; 1250,0000
2020-06-19; 1; 0,7142857;  23,80952;  38,61004;  49,26108;  59,52381;  30,61224;  49,64148;  63,33568;  76,53061;101642,85714;164826,25483;210295,56650;254107,14286;  547,6190;  888,0309; 1133,0049; 1369,0476
2020-06-20; 1; 0,8571429;  23,80952;  38,61004;  49,26108;  59,52381;  23,80952;  38,61004;  49,26108;  59,52381;101666,66667;164864,86486;210344,82759;254166,66667;  571,4286;  926,6409; 1182,2660; 1428,5714
2020-06-21; 0; 0,7142857;  23,80952;  38,61004;  49,26108;  59,52381;  23,80952;  38,61004;  49,26108;  59,52381;101690,47619;164903,47490;210394,08867;254226,19048;  619,0476; 1003,8610; 1280,7882; 1547,6190
2020-06-22; 0; 0,7142857;  23,80952;  38,61004;  49,26108;  59,52381;  23,80952;  38,61004;  49,26108;  59,52381;101714,28571;164942,08494;210443,34975;254285,71429;  619,0476; 1003,8610; 1280,7882; 1547,6190
2020-06-23; 1; 0,7142857;  23,80952;  38,61004;  49,26108;  59,52381;  30,61224;  49,64148;  63,33568;  76,53061;101738,09524;164980,69498;210492,61084;254345,23810;  595,2381;  965,2510; 1231,5271; 1488,0952
2020-06-24; 0; 0,5714286;  23,80952;  38,61004;  49,26108;  59,52381;  37,41497;  60,67292;  77,41027;  93,53741;101761,90476;165019,30502;210541,87192;254404,76190;  595,2381;  965,2510; 1231,5271; 1488,0952
2020-06-25; 1; 0,5714286;  23,80952;  38,61004;  49,26108;  59,52381;  40,81633;  66,18864;  84,44757; 102,04082;101785,71429;165057,91506;210591,13300;254464,28571;  547,6190;  888,0309; 1133,0049; 1369,0476
2020-06-26; 0; 0,4285714;  71,42857; 115,83012; 147,78325; 178,57143;  44,21769;  71,70436;  91,48487; 110,54422;101857,14286;165173,74517;210738,91626;254642,85714;  500,0000;  810,8108; 1034,4828; 1250,0000
2020-06-27; 0; 0,2857143;  71,42857; 115,83012; 147,78325; 178,57143;  47,61905;  77,22008;  98,52217; 119,04762;101928,57143;165289,57529;210886,69951;254821,42857;  452,3810;  733,5907;  935,9606; 1130,9524
2020-06-28; 1; 0,4285714;  47,61905;  77,22008;  98,52217; 119,04762;  51,02041;  82,73580; 105,55947; 127,55102;101976,19048;165366,79537;210985,22167;254940,47619;  404,7619;  656,3707;  837,4384; 1011,9048
2020-06-29; 0; 0,4285714;  47,61905;  77,22008;  98,52217; 119,04762;  57,82313;  93,76724; 119,63406; 144,55782;102023,80952;165444,01544;211083,74384;255059,52381;  333,3333;  540,5405;  689,6552;  833,3333
2020-06-30; 0; 0,2857143;  47,61905;  77,22008;  98,52217; 119,04762;  54,42177;  88,25152; 112,59676; 136,05442;102071,42857;165521,23552;211182,26601;255178,57143;  285,7143;  463,3205;  591,1330;  714,2857
2020-07-01; 0; 0,2857143;  47,61905;  77,22008;  98,52217; 119,04762;  51,02041;  82,73580; 105,55947; 127,55102;102119,04762;165598,45560;211280,78818;255297,61905;  285,7143;  463,3205;  591,1330;  714,2857
2020-07-02; 0; 0,1428571;  71,42857; 115,83012; 147,78325; 178,57143;  54,42177;  88,25152; 112,59676; 136,05442;102190,47619;165714,28571;211428,57143;255476,19048;  333,3333;  540,5405;  689,6552;  833,3333
