Aldersgruppe;Date;Variable;Total;Weekly_diff
10-19;2020-10-14;positive;  4267;  452
10-19;2020-10-14;testede;353319;13382
20-29;2020-10-14;positive;  6573;  552
20-29;2020-10-14;testede;426274;15852
30-39;2020-10-14;positive;  4726;  381
30-39;2020-10-14;testede;365535;12759
40-49;2020-10-14;positive;  5301;  427
40-49;2020-10-14;testede;374953;13676
50-59;2020-10-14;positive;  5255;  428
50-59;2020-10-14;testede;365584;13691
60-69;2020-10-14;positive;  2947;  242
60-69;2020-10-14;testede;261289; 9435
70-79;2020-10-14;positive;  1974;  165
70-79;2020-10-14;testede;191578; 6524
80-89;2020-10-14;positive;  1152;   59
80-89;2020-10-14;testede; 75783; 2491
90+;2020-10-14;positive;   342;   11
90+;2020-10-14;testede; 15842;  499
0-9;2020-10-21;positive;  1671;  185
0-9;2020-10-21;testede;205228; 5732
10-19;2020-10-21;positive;  4877;  610
10-19;2020-10-21;testede;363543;10224
20-29;2020-10-21;positive;  7339;  766
20-29;2020-10-21;testede;439157;12883
30-39;2020-10-21;positive;  5282;  556
30-39;2020-10-21;testede;376366;10831
40-49;2020-10-21;positive;  5851;  550
40-49;2020-10-21;testede;386249;11296
50-59;2020-10-21;positive;  5823;  568
50-59;2020-10-21;testede;377240;11656
60-69;2020-10-21;positive;  3210;  263
60-69;2020-10-21;testede;269415; 8126
70-79;2020-10-21;positive;  2135;  161
70-79;2020-10-21;testede;197806; 6228
80-89;2020-10-21;positive;  1217;   65
80-89;2020-10-21;testede; 78224; 2441
90+;2020-10-21;positive;   358;   16
90+;2020-10-21;testede; 16387;  545
0-9;2020-10-28;positive;  2011;  340
0-9;2020-10-28;testede;215419;10191
10-19;2020-10-28;positive;  6098; 1221
10-19;2020-10-28;testede;381284;17741
20-29;2020-10-28;positive;  8635; 1296
20-29;2020-10-28;testede;455866;16709
30-39;2020-10-28;positive;  6182;  900
30-39;2020-10-28;testede;390648;14282
40-49;2020-10-28;positive;  6759;  908
40-49;2020-10-28;testede;402456;16207
50-59;2020-10-28;positive;  6675;  852
50-59;2020-10-28;testede;393333;16093
60-69;2020-10-28;positive;  3635;  425
60-69;2020-10-28;testede;281098;11683
70-79;2020-10-28;positive;  2368;  233
70-79;2020-10-28;testede;206362; 8556
80-89;2020-10-28;positive;  1295;   78
80-89;2020-10-28;testede; 81245; 3021
90+;2020-10-28;positive;   376;   18
90+;2020-10-28;testede; 16990;  603
0-9;2020-11-04;positive;  2513;  502
0-9;2020-11-04;testede;229117;13698
10-19;2020-11-04;positive;  7553; 1455
10-19;2020-11-04;testede;403613;22329
20-29;2020-11-04;positive; 10094; 1459
20-29;2020-11-04;testede;474788;18922
